================================================================================
PLATFORM SURVEILLANCE SYSTEM - LOG FILE
================================================================================
Start Time: 2026-04-04 16:36:47.167797
Log Folder: MarvellousLogs
Monitoring Interval: 10 minute(s)
================================================================================


********************************************************************************
MONITORING CYCLE #1
Cycle Start Time: 2026-04-04 16:36:47.167797
********************************************************************************


================================================================================
[FUNCTION: thread_monitoring] - Execution Time: 2026-04-04 16:36:47.168800
================================================================================
Thread Monitoring Report
Process Name                   PID        Thread Count   
svchost.exe                    21464      13             
-------------------------------------------------------
Total processes monitored: 290
Status: COMPLETED SUCCESSFULLY
================================================================================


================================================================================
[FUNCTION: open_files_monitoring] - Execution Time: 2026-04-04 16:36:48.577796
================================================================================
Open Files Monitoring Report
Process Name                   PID        Open Files     
-------------------------------------------------------
System Idle Process            0          0              
System                         4          0              
                               72         Access Denied  
csrss.exe                      92         Access Denied  
Registry                       132        Access Denied  
smss.exe                       460        Access Denied  
csrss.exe                      768        Access Denied  
brave.exe                      824        32             
services.exe                   836        Access Denied  
LsaIso.exe                     844        Access Denied  
lsass.exe                      860        Access Denied  
winlogon.exe                   932        Access Denied  
wininit.exe                    1020       Access Denied  
svchost.exe                    1032       Access Denied  
fontdrvhost.exe                1068       Access Denied  
WUDFHost.exe                   1108       Access Denied  
fontdrvhost.exe                1156       Access Denied  
brave.exe                      1172       22             
svchost.exe                    1224       Access Denied  
brave.exe                      1236       23             
svchost.exe                    1272       Access Denied  
brave.exe                      1404       26             
brave.exe                      1408       12             
SecurityHealthService.exe      1432       Access Denied  
svchost.exe                    1444       Access Denied  
svchost.exe                    1452       Access Denied  
svchost.exe                    1468       Access Denied  
svchost.exe                    1496       Access Denied  
StartMenuExperienceHost.exe    1540       13             
svchost.exe                    1572       Access Denied  
svchost.exe                    1580       Access Denied  
dwm.exe                        1620       Access Denied  
svchost.exe                    1736       Access Denied  
IntelCpHDCPSvc.exe             1800       Access Denied  
svchost.exe                    1824       Access Denied  
svchost.exe                    1832       Access Denied  
svchost.exe                    1864       Access Denied  
svchost.exe                    1896       Access Denied  
msedgewebview2.exe             1952       1              
brave.exe                      2072       12             
IntelCpHeciSvc.exe             2076       Access Denied  
svchost.exe                    2096       Access Denied  
svchost.exe                    2104       Access Denied  
svchost.exe                    2116       1              
brave.exe                      2152       15             
svchost.exe                    2184       Access Denied  
svchost.exe                    2220       Access Denied  
brave.exe                      2224       6              
brave.exe                      2280       26             
svchost.exe                    2288       Access Denied  
pet.exe                        2360       2              
Code.exe                       2404       28             
svchost.exe                    2412       Access Denied  
svchost.exe                    2420       Access Denied  
svchost.exe                    2440       Access Denied  
conhost.exe                    2448       1              
